,ds,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,RTX,VZ,V,WMT,WBA,DIS
478,2018-11-26,203.58715148170677,110.65783636760622,165.7193335479714,368.779118339051,131.88868948395697,120.9895286406229,46.25536880034454,48.51888142235677,61.05533664228824,79.94546323761642,204.89586107795668,177.2033835878138,126.96498134032063,48.33949476203307,139.21780214532612,112.80166696116052,176.90879672169802,74.62806732121345,105.94307758654023,75.91955919899623,43.815938590482844,89.59952296369299,128.05138852583912,272.1412734689158,134.47542261298284,57.206523019041356,140.43065703525937,98.66893497033038,80.43959463814114,120.13329439717154
479,2018-11-27,203.76243640267802,110.78089929627832,166.98315797359322,368.79336917500916,132.00093098392804,121.05179359045661,46.43327865495178,48.5590479645818,61.26648900841709,79.97871709329965,204.79689128864462,177.42240118382813,127.05525305215866,48.409861963406094,139.66466811602845,112.70578130874307,177.45098858544253,74.80573191667892,106.07835470174781,76.14580160462032,43.83981910054794,89.92694564510525,127.86336723377136,273.0935531459967,134.40611278351886,57.39781314957131,140.49698873324203,98.83687060990553,80.4619042805057,120.20774620568649
480,2018-11-28,203.7523889090326,110.42736195139621,168.54515563648278,367.5494367447485,131.70625086927714,120.46389373838566,46.38275184389038,48.488164752123126,60.99464502758244,79.7090371447828,203.82294059542042,177.13968240926772,126.90493864573097,48.369534925285116,139.6359755042849,112.26804032387327,177.91765871179848,74.93967339499444,106.15761880212371,76.28052606369093,43.876706119461154,90.07379159693504,127.41216825593749,273.24058752669686,133.66023945795087,57.38388785510177,140.3736978228698,98.45318639302594,80.22351904306167,119.89688181752754
481,2018-11-29,203.66787475799333,110.3495338210925,169.3343568628192,367.00783711426806,131.54480619992825,120.22850360722452,46.35611806805693,48.387572637494124,60.85490830738105,79.68556312150376,203.17140592535574,176.89002052680047,126.70681606133789,48.25851259509157,139.70357739872858,112.11903100375665,178.23597085876537,75.11015511535213,106.18012237513189,76.27481062541871,43.873351212691475,90.22879594014614,127.14095868992113,273.47095798127106,133.43505674555814,57.52909402542226,140.1687372053289,98.29523215774546,79.98653699084247,119.62815826537877
482,2018-11-30,203.96187900342443,110.2929056768397,169.77148820840398,366.4877999899836,131.56952037425793,120.06748215241329,46.42638688679893,48.36666351329281,60.75246389696936,79.59644091706106,202.40102068515273,176.99899495102062,126.57603224240523,48.154917073797485,139.85337912445672,111.9196623686676,178.64228718600702,75.35760435730809,106.18519638700117,76.36203160416422,44.04917773586317,90.63132945161585,127.13031039429475,273.7628962046736,133.13352852366867,57.76089667399314,139.9939264604504,98.08325522754676,79.90231579618941,119.52032963710923
483,2018-12-03,204.06712398283935,109.60540476522495,172.38503312054917,363.98920911883016,131.15649689764157,119.58383298629093,46.51919251967188,48.19321190632378,60.67503880273309,79.56684066834396,201.04536358363208,176.67545226864226,126.48624933638465,48.15738515529994,139.71242771265693,111.30916238453386,178.99819351213588,75.73016350300196,106.06005386073616,76.39739239065571,44.1450231706641,91.09546247914928,126.36045839756699,272.75977376934577,131.72526228188042,57.96734425974608,139.01349249042545,97.22501887759863,79.60405684813591,118.63302433475522
484,2018-12-04,204.02369929531753,109.49836676455861,174.18929551636495,363.5347830701807,131.264173261967,119.55404401318368,46.65955523551446,48.22251801126052,60.88619116886181,79.54593591426385,200.96529559986553,177.04609839633198,126.4349666540204,48.28129562159185,140.05217609702882,111.05459258391888,179.42418229189911,75.8740395667158,106.26050254294314,76.57502555734823,44.143326767583225,91.47892287226195,126.10025760842285,273.40054370534637,131.51911642366625,58.12263561271338,139.03676441630572,97.28386237458787,79.50024448371587,118.44341195385557
485,2018-12-06,203.45936052994495,108.65571810761284,177.16552075721577,360.98152016436035,130.8065910383085,118.62638616154968,46.5039731122956,48.05004657935071,60.47461046782733,79.12887496654774,199.3976086179208,176.7497712884139,125.80389323191199,48.240210425098965,139.84898914844365,110.18790049941745,179.89875832741112,76.09724784788142,106.47567255656382,76.59562057942557,44.11250747377832,91.854319103943,125.2740790356407,273.101448848102,130.35307905978095,58.162273713212755,138.67098155704775,96.58091334453869,78.77074414104474,117.45671478763884
486,2018-12-07,203.51027609283236,108.42284486952465,177.67186219296684,360.1671714992475,130.83578442670242,118.45200106955087,46.534138532221334,48.03793820988142,60.37216605741111,78.97155489788449,198.66253950151636,176.93803753039083,125.5344073619688,48.19019659407204,139.86563194643395,109.87096474464721,180.11479886636258,76.29783466428566,106.5242868555845,76.62501482874214,44.25061165950682,92.27145355289328,125.23031886989249,273.0351365949978,129.9950936333819,58.33968589835394,138.49850426161694,96.31887166903665,78.56187008369848,117.20909786161957
487,2018-12-10,202.90717116828756,107.34833879916327,179.52030694785086,357.1728908875965,130.46868613119904,118.06921300271775,46.5086770733938,47.919144387723755,60.29474096317888,78.72643462439007,197.42362662652303,176.68453941016162,125.05395984742977,48.33003347334272,139.29230063757,109.0161716586959,179.7981374008461,76.50961828867797,106.45509092373017,76.48655828172045,44.219139707859895,92.67962940245538,124.42583500196227,270.92726995884414,128.5858851719909,58.35873170087155,137.5903329425909,95.43708322931812,77.92198093420467,116.15847999974788
488,2018-12-11,202.65029308908106,107.16442430032721,180.77087252855495,356.6907494496807,130.60641622084214,118.11428333292086,46.61208065401772,47.97314536898724,60.50589332930654,78.63505715938742,197.38430595092234,177.02445539607814,124.88541424391433,48.488000932632055,139.48249434726145,108.72027824012403,179.98044794580485,76.59492060034853,106.64546455778935,76.6104430587161,44.17287672479051,93.01015224321893,124.17279762656509,271.20578795942737,128.43511841520208,58.44682378174139,137.65479010409902,95.52909503861048,77.72163960357251,115.99512884063702
489,2018-12-12,202.21513043251537,106.54697037818187,182.04443387175414,355.0792123462558,130.34903563440963,117.55308241586911,46.48800410006808,47.92484570601292,60.23404934847326,78.23885967079126,196.4784819371096,176.8174720437889,124.48492664189443,48.5295142634481,139.18809253873252,108.1157499874216,180.05944728725095,76.63041749870028,106.75987817695946,76.6430457103403,44.13538212884571,93.13106852118058,123.67842133014348,270.67178614683877,127.66060979882664,58.32243088957732,137.55306498079176,95.10697304144114,77.27131256647101,115.5222296130461
490,2018-12-13,201.72075422040703,106.2512250470413,182.2790635244708,354.3036455193433,130.23850331396807,117.38572305144083,46.389725437272716,47.85421425071821,60.0943126282736,78.08945809074902,195.9024894399819,176.59873818277663,124.04799032077413,48.492440194033904,138.98390964309877,107.83542807680453,179.96952194279584,76.69732978328312,106.79542228394277,76.5376159571277,44.05473445836308,93.23035441134267,123.38454054640331,270.2222892010636,127.45962179263066,58.351607292691845,137.39083597326,94.94789887215948,76.83644972002526,115.16579038680997
491,2018-12-14,201.62839056038737,106.02499268589185,181.91159595991422,353.6878879539051,130.32961685005077,117.331013875603,46.391246759538944,47.86917696427726,59.99186821786081,77.87772377930914,195.2146770081934,176.6957423201743,123.69253053608833,48.45305701991256,138.85913536254165,107.5420244049329,179.9551732434145,76.83715483063445,106.78998501654019,76.52974041423738,44.15176165517835,93.54725556585842,123.3704134055076,269.84445010028537,127.23458426737626,58.46365664721331,137.27785288430033,94.77126011893446,76.5717376186171,115.04170240106468
492,2018-12-17,200.79462056205097,105.13152806918356,180.86674251681774,351.77217893900917,130.22679458782957,117.3600968358531,46.305421720763064,47.823780766872304,59.914443123621744,77.52973878796867,194.15562746837247,176.12035537481316,123.04216203260347,48.57661398226555,137.91450654342572,106.88337740274741,179.06601941441235,76.87469902575812,106.48941731527,76.32895684623458,44.01674873056028,93.58350213239943,122.6934361824314,266.98570460724557,126.35620684832676,58.30806416589349,136.581347707752,94.21966045660496,75.86743491193779,114.48688693694045
493,2018-12-18,200.5355533218297,105.05754887996272,181.1479325991281,351.81270844794466,130.48002187478417,117.55269586959604,46.39881507587029,47.897793271078456,60.12559548975125,77.42925788900536,194.19632279026072,176.35558091713563,122.85152031876788,48.714656532896896,138.00624013124138,106.69134720297035,179.11504080572342,76.9073126156403,106.58663774503587,76.4507511804204,43.944759118524345,93.77334570090294,122.49535912524185,267.0903597408163,126.4197833238239,58.348373266893404,136.72852592123508,94.43877755312108,75.68243420382723,114.51410346113781
494,2018-12-19,200.1379746803433,104.57183852658697,181.49213217842978,350.80434016297784,130.3515502895598,117.14071589538324,46.27041873636355,47.86669736857144,59.85375150891898,77.03854486609433,193.38454713489264,176.05491712837969,122.44861634359951,48.73034460980884,137.62962503308054,106.20740131524066,179.0973677314803,76.89413869248179,106.60422169863958,76.49113516455085,43.88681516987665,93.74928653662059,122.06222568596456,266.4271491347594,125.87448808323796,58.18279556112502,136.71661214989243,94.14830019455098,75.26620212614205,114.23606811253237
495,2018-12-20,199.72125243747558,104.42734949258991,180.86120286293317,350.71015064946226,130.3825239151224,117.12241562831696,46.17377011691825,47.810337694587865,59.714014788718444,76.90999475170125,192.91900746084454,175.75918334577418,122.0301804006744,48.66264549143397,137.36138247802705,106.06240059073082,178.95110389678135,76.91713603060134,106.542197645373,76.40329476789441,43.791358561904495,93.70193978180075,121.83601143141726,265.89606753873386,125.91501137713801,58.17801901936238,136.65204906334748,94.12303252597869,74.8838324970945,114.0739301090617
496,2018-12-21,199.7460873088082,104.36930129011198,179.7137069537987,350.8503989390988,130.6264533667625,117.21490123148885,46.18303461472246,47.83666751749818,59.61157037830617,76.73492427773844,192.36024792416734,175.80117530113273,121.71517320571408,48.58908832011758,137.19237051629952,105.91680127648063,178.92362773957484,77.01847821377332,106.4414972620486,76.4224831032078,43.87945301138732,93.87324251339432,121.89614809435945,265.4865268044511,125.94106341958633,58.263826743448746,136.6453679334555,94.08006569206562,74.68926949322802,114.13896924738671
497,2018-12-24,199.48343948585736,104.05267048363125,177.01666105039888,351.5933400596897,131.02975671959922,117.6596531649578,46.15714910560742,47.81033944784059,59.534145284064614,76.59069298795029,191.81692247356065,175.23663957064707,121.3242728196663,48.60279068384528,136.24608099231875,105.75055494588975,178.26846226998987,76.9786416913767,105.89909083990857,76.35237800422374,43.75320437603324,93.50526465268828,121.48305694416094,262.84258148655454,125.84465772207813,58.07801976809011,136.32620098546832,93.90788790084653,74.28833803656387,114.07993119118196
498,2018-12-26,199.35873310578046,103.905876568611,177.2271234159257,352.6403718689631,131.5032641795802,117.68353821070029,46.19074511315536,47.857909075048354,59.47345366936453,76.3055067257823,191.50510838843806,175.354152765693,121.01946894056668,48.691667795330986,136.07499534034156,105.41511260451095,178.67884525041876,76.98176114206403,105.91655494394217,76.63120619055736,43.65660428628007,93.45269278012506,121.0622841253375,262.6809860131781,125.87854820140436,57.972139134404145,136.76505328326755,94.0542794706084,73.94794848226002,114.0678171390004
499,2018-12-27,199.24000881325136,103.96645064329326,176.60805261516336,353.593879422474,131.7013217785005,117.77367585930162,46.13580604830366,47.803249559438505,59.33371694916379,76.2965880063623,191.30304004923605,175.205946497461,120.77835417716888,48.59820919956229,135.89765527303672,105.43513515287972,178.78173197944224,77.00755644247631,105.83165857856467,76.60593097118048,43.58470835254965,93.31750541316791,120.95107298217042,262.41850812888083,126.1663417244101,57.98770905260815,136.86741167349624,94.12347228538536,73.70649889870853,113.99077202369615
500,2018-12-28,199.5768513002336,104.10822502592201,175.6150643536457,354.79126203940297,132.10197171569823,117.96467130759726,46.19094537143208,47.83176519786009,59.23127253874791,76.24943115511506,191.02827950618385,175.4316487795746,120.66089112850622,48.504944737165815,135.8409791193639,105.44714981804634,179.03740486585264,77.11883250943865,105.72728599520597,76.68809226704923,43.70007242984467,93.4171437872178,121.1320887547628,262.3196265640535,126.42890101263909,58.10003532000849,137.03669333840634,94.16428092499736,73.6562594447414,114.116476216688
501,2018-12-31,200.27209261936284,104.32986929027795,174.1436813397182,358.6160846107402,132.86927673137194,118.63796154537708,46.32031663506635,47.82150705721154,59.153847444512394,76.512625143448,191.43164464796462,175.60609763547328,120.96366491150636,48.50488848034792,135.34333230119225,105.68237374336546,179.37618085548434,77.14770171780779,105.29531198383971,76.78998726862487,43.66957148568273,92.93926388285026,121.10845591165032,260.8111742189414,126.95221830871905,58.0213688504809,137.2847972050832,94.17612667774075,73.68049048241694,114.09136768833993
502,2019-01-02,200.73876016141628,104.46553473314053,175.65616354390033,361.4901061137514,133.45358928718073,118.75161159082931,46.463651861564315,47.893265027675696,59.09315582980981,76.48951007935288,191.78905026794035,176.3250994187297,121.17862804143557,48.627651353690375,135.5403864000523,105.53237244335575,180.49779244479285,77.22261722748355,105.48450147914804,77.15037708445313,43.63903622037966,92.90190559175706,120.95753599762998,261.51622448417135,127.30330859315202,57.99861801301849,138.11294096581548,94.39040417681647,73.58960366560707,113.98648802938285
503,2019-01-03,200.8820768133124,104.63850785479704,175.77562259165958,363.2436766033481,133.65561159038492,118.86596307906284,46.46273282491684,47.8558835430789,58.95341910960862,76.59954685944356,191.9176426552959,176.49139807421412,121.2048741879769,48.564367091268224,135.5588491164857,105.61530452489878,180.9470053971262,77.28950959542938,105.51122485935356,77.15079173785513,43.59789195145179,92.79900579618433,120.9796459696184,261.6995095510814,127.71612061509818,58.05553419582172,138.40498229398008,94.47864450647955,73.45527560843264,113.83329480438464
